team,commons_page_title,image_url,mime_type,score,source,local_file
University of Texas at Austin (Texas),,,,0,not_found,
University of Texas at El Paso (UTEP),,,,0,not_found,
University of Texas at San Antonio (UTSA),,,,0,not_found,
University of Toledo,,,,0,existing_file,logos/University_of_Toledo.svg
University of Tulsa,,,,0,existing_file,logos/University_of_Tulsa.svg
University of Utah,,,,0,existing_file,logos/University_of_Utah.svg
University of Virginia,,,,0,existing_file,logos/University_of_Virginia.svg
University of Washington,,,,0,existing_file,logos/University_of_Washington.svg
University of West Georgia[c],,,,0,not_found,
University of Wisconsin–Green Bay (Green Bay),,,,0,not_found,
University of Wisconsin–Madison (Wisconsin),,,,0,not_found,
University of Wisconsin–Milwaukee (Milwaukee),,,,0,not_found,
University of Wyoming,,,,0,existing_file,logos/University_of_Wyoming.svg
University of the Incarnate Word,,,,0,existing_file,logos/University_of_the_Incarnate_Word.svg
University of the Pacific,,,,0,existing_file,logos/University_of_the_Pacific.png
Utah State University,,,,0,existing_file,logos/Utah_State_University.svg
Utah Tech University,,,,0,existing_file,logos/Utah_Tech_University.svg
Utah Valley University,,,,0,existing_file,logos/Utah_Valley_University.svg
Valparaiso University,,,,0,existing_file,logos/Valparaiso_University.gif
Vanderbilt University,,,,0,existing_file,logos/Vanderbilt_University.svg
Villanova University,,,,0,existing_file,logos/Villanova_University.svg
Virginia Commonwealth University (VCU),,,,0,not_found,
Virginia Polytechnic Institute and State University (Virginia Tech),,,,0,not_found,
Wake Forest University,,,,0,existing_file,logos/Wake_Forest_University.svg
Washington State University,,,,0,existing_file,logos/Washington_State_University.svg
Weber State University,,,,0,existing_file,logos/Weber_State_University.svg
West Virginia University,,,,0,existing_file,logos/West_Virginia_University.svg
Western Carolina University,,,,0,existing_file,logos/Western_Carolina_University.svg
Western Illinois University,,,,0,existing_file,logos/Western_Illinois_University.png
Western Kentucky University,,,,0,existing_file,logos/Western_Kentucky_University.svg
Western Michigan University,,,,0,existing_file,logos/Western_Michigan_University.svg
Wichita State University,,,,0,existing_file,logos/Wichita_State_University.svg
Winthrop University,,,,0,existing_file,logos/Winthrop_University.svg
Wofford College,,,,0,existing_file,logos/Wofford_College.jpg
Wright State University,,,,0,existing_file,logos/Wright_State_University.png
Xavier University,,,,0,existing_file,logos/Xavier_University.svg
